date,open,high,low,close,volume,adj_close
2011-03-23,142.34,142.34,142.34,142.34,0,142.34
2011-03-22,142.41,142.41,142.34,142.34,800,142.34
2011-03-21,142.93000000000001,142.93000000000001,142.63999999999999,142.63999999999999,1500,142.63999999999999
2011-03-18,140.18000000000001,140.18000000000001,140.18000000000001,140.18000000000001,0,140.18000000000001
2011-03-17,140.18000000000001,140.18000000000001,140.18000000000001,140.18000000000001,1000,140.18000000000001
2011-03-16,139.87,140.13999999999999,139.5,139.5,2700,139.5
2011-03-15,138.91999999999999,139.97999999999999,138.91999999999999,139.33000000000001,5400,139.33000000000001
2011-03-14,142.72999999999999,142.72999999999999,142.56999999999999,142.56999999999999,1200,142.56999999999999
2011-03-11,140.65000000000001,140.65000000000001,140.65000000000001,140.65000000000001,100,140.65000000000001
2011-03-10,141.94,141.94,140.38999999999999,141.03999999999999,3400,141.03999999999999
2011-03-09,143.11000000000001,143.11000000000001,142.72999999999999,142.88999999999999,4500,142.88999999999999
2011-03-08,143.08000000000001,143.08000000000001,142.69,142.69,1900,142.69
2011-03-07,143.78999999999999,143.78999999999999,142.97999999999999,143.44,3300,143.44
2011-03-04,142.30000000000001,142.74000000000001,142.30000000000001,142.74000000000001,2600,142.74000000000001
2011-03-03,142.31,142.31,141.06999999999999,141.5,6200,141.5
2011-03-02,143.69999999999999,143.97,143.53999999999999,143.96000000000001,5300,143.96000000000001
2011-03-01,142.27000000000001,143.22,142.27000000000001,143.22,2900,143.22
2011-02-28,141.06999999999999,141.30000000000001,140.59999999999999,141.19,3400,141.19
2011-02-25,141.09,141.09,141.09,141.09,100,141.09
2011-02-24,141.44999999999999,141.47,139.53999999999999,139.62,11200,139.62
2011-02-23,140.81999999999999,141.37,140.81999999999999,140.99000000000001,5000,140.99000000000001
2011-02-22,139.86000000000001,139.86000000000001,139.86000000000001,139.86000000000001,200,139.86000000000001
2011-02-18,138.43000000000001,138.84,138.43000000000001,138.66,2700,138.66
2011-02-17,138.03999999999999,138.21000000000001,137.97999999999999,138.21000000000001,1300,138.21000000000001
2011-02-16,137.58000000000001,138.13999999999999,136.86000000000001,137.46000000000001,17800,137.46000000000001
2011-02-15,137.18000000000001,137.31,137.18000000000001,137.28,600,137.28
2011-02-14,136.28999999999999,136.28999999999999,136.28999999999999,136.28999999999999,300,136.28999999999999
2011-02-11,135.68000000000001,135.68000000000001,135.68000000000001,135.68000000000001,1000,135.68000000000001
2011-02-10,136.41,136.41,136.41,136.41,0,136.41
2011-02-09,136.50999999999999,136.50999999999999,135.91,136.41,6800,136.41
2011-02-08,136.24000000000001,136.69,136.24000000000001,136.46000000000001,7000,136.46000000000001
2011-02-07,134.72999999999999,134.97999999999999,134.72999999999999,134.84,2100,134.84
2011-02-04,135.05000000000001,135.84999999999999,134.53,134.90000000000001,5200,134.90000000000001
2011-02-03,134.69999999999999,135.44,134.69999999999999,135.06,3400,135.06
2011-02-02,133.59999999999999,133.81,132.74000000000001,133.66,7700,133.66
2011-02-01,133.44999999999999,134.21000000000001,132.62,134.03,8700,134.03
2011-01-31,132.5,133.41999999999999,132.5,133.06999999999999,5400,133.06999999999999
